timestamp,temp_c,cap_pf,cap_sd_pf,permittivity,optical_ratio,index,tpm_equiv,validation,ch410,ch435,ch460,ch485,ch510,ch535,ch560,ch585,ch610,ch645,ch680,ch705,ch730,ch760,ch810,ch860,ch900,ch940
2026-08-07T13:33:10.000Z,27.1,8.2541,0.0012,7.2098,0.1978,1.3500,30.95,optical,9.164,8.673,29.28,5.36,11.243,7.943,6.337,12.747,24.182,3.555,2.534,1.993,43.791,26.04,3.142,2.538,9.389,34.103
2026-08-07T15:50:38.000Z,24.4,7.8856,0.0009,5.7992,-0.5649,,,optical,5.832,37.584,56.671,22.333,55.466,80.875,80.649,77.016,29.872,8.886,1.901,2.99,119.849,30.207,7.855,5.922,9.389,6.821
2026-08-07T15:50:50.000Z,24.7,8.6783,0.0445,8.8253,1.0173,0.1409,10.39,optical,29.158,36.62,99.174,27.693,89.944,108.315,92.747,87.639,55.477,11.552,4.435,3.986,149.811,53.122,9.427,7.613,20.486,27.282
2026-08-07T15:51:44.000Z,24.9,7.6955,0.0008,5.0744,-2.5427,,,optical,4.999,48.184,70.839,24.119,65.21,93.873,92.171,83.39,31.769,10.219,1.901,2.99,124.458,29.165,7.07,5.922,10.243,5.684
2026-08-07T15:51:58.000Z,25.1,8.7099,0.0321,8.9465,0.9248,0.5410,17.20,optical,34.157,38.547,95.396,27.693,84.697,80.153,60.487,65.862,51.21,8.442,4.435,3.986,119.849,43.748,7.855,5.922,16.218,28.419
2026-08-07T15:52:19.000Z,25.5,8.2701,0.3245,7.2684,5.0853,0.0000,8.00,reading unstable,2.499,12.528,25.502,3.573,5.247,10.109,7.489,7.436,6.638,1.333,0.634,1.993,12.676,9.374,1.571,1.692,0.854,1.137
2026-08-07T15:52:32.000Z,25.7,8.7758,0.0175,9.1989,0.8924,0.6907,19.74,optical,24.16,22.165,68.005,12.506,47.97,46.936,36.868,39.305,31.769,7.553,3.801,2.99,79.515,34.373,7.07,5.076,12.804,23.872
2026-08-07T15:52:45.000Z,25.9,7.8763,0.0719,5.7660,-6.7806,,,optical,2.499,14.455,33.058,10.72,17.239,32.494,39.173,20.183,9.957,3.999,1.267,1.993,35.724,11.458,2.357,1.692,3.414,2.274
2026-08-07T15:52:58.000Z,26.1,18.5323,3.8147,46.4380,-4.8041,,,reading unstable,4.165,25.056,46.281,8.04,18.738,38.993,32.26,24.964,22.76,7.109,1.267,1.993,43.791,21.874,4.713,4.23,4.268,5.684
2026-08-07T15:53:11.000Z,26.2,8.9185,0.0202,9.7443,0.7065,1.3500,30.95,optical,19.994,18.31,59.505,9.826,24.735,22.385,9.793,17.528,20.863,4.888,2.534,1.993,39.181,27.082,4.713,4.23,9.389,22.735
